month,username,channel name,country,main topic,likes,posts,followers,comments,views
April,BigGiantCircles,JustBeatz,US,music,23356,534,12013,24567,542312
April,mangledPixel,ArtAllDay,CA,art,838215,702,7321023,355645,52587364
February,BigGiantCircles,JustBeatz,US,music,19075,367,78023,15371,454132
February,actionDan,wizardHighSchool,US,education,20260,402,94300,3830,608010
February,cryptozoologist,australian_wildlife,,nature,25574,809,1456706,262398,7690402
February,mangledPixel,ArtAllDay,CA,art,228260,2,8300936,87,0
January,actionDan,wizardHighSchool,US,education,53882,431,95800,4129,442422
January,cryptozoologist,australian_wildlife,,nature,15654,702,1234050,156548,6744523
January,BigGiantCircles,JustBeatz,US,music,29171,3,75043,27701,0
January,mangledPixel,ArtAllDay,CA,art,965094,5,8131230,398583,0
March,mangledPixel,ArtAllDay,CA,art,958214,1,7320935,455632,0
March,actionDan,wizardHighSchool,US,education,53357,934,120343,6902,802180
March,cryptozoologist,australian_wildlife,,nature,8552,1203,1705335,120595,2565870
March,BigGiantCircles,JustBeatz,US,music,30112,430,93203,38021,416456
